player_id,player_name,short_name,line,primary_position,secondary_positions,age,club,league,minutes_recent,goals_recent,assists_recent,clean_sheets_recent,duels_won_pct,pass_success_pct,avg_rating,recent_form,league_level,playing_time_score,international_experience,tactical_fit,versatility,potential,data_status,source_name,injury_status,strong_points,weak_points,role_projection
gk_bounou,Yassine Bounou,Y. Bounou,Goalkeepers,GK,GK,35,Al Hilal,Saudi Pro League,1620,0,0,8,0,72,7.2,86,78,88,95,92,45,78,manual,seed_manual,To verify,Shot stopping and leadership,Age curve and high line coverage,Starting goalkeeper and senior leader
gk_el_kajoui,Munir El Kajoui,M. El Kajoui,Goalkeepers,GK,GK,37,RS Berkane,Botola Pro,1260,0,0,6,0,68,6.8,72,60,75,78,70,35,62,manual,seed_manual,To verify,Experience and reliability,Limited elite match rhythm,Backup goalkeeper
gk_tagnaouti,Ahmed Reda Tagnaouti,A. Tagnaouti,Goalkeepers,GK,GK,30,Wydad AC,Botola Pro,1080,0,0,5,0,66,6.7,68,58,70,45,66,38,65,estimated,seed_estimated,To verify,Reflexes and domestic experience,International exposure,Third goalkeeper option
df_hakimi,Achraf Hakimi,A. Hakimi,Defenders,RB,RWB|LB|RW,27,Paris Saint-Germain,Ligue 1,1710,3,6,7,59,86,7.5,91,92,90,95,96,92,90,manual,seed_manual,To verify,Elite athleticism and final third output,Space behind when very advanced,Automatic starter and right-side weapon
df_mazraoui,Noussair Mazraoui,N. Mazraoui,Defenders,LB,RB|DM|CM,28,Manchester United,Premier League,1320,0,3,5,61,85,7.0,80,94,76,86,88,90,82,manual,seed_manual,To verify,Two-footed buildup and tactical intelligence,Fitness continuity,Inverted full back or left back starter
df_diop,Isa Diop,I. Diop,Defenders,CB,CB,29,Fulham,Premier League,1150,1,0,4,65,82,6.8,74,94,72,40,72,35,72,estimated,seed_estimated,To verify,Size aerial power and Premier League rhythm,Morocco automatisms,Physical centre back depth
df_salah_eddine,Anass Salah-Eddine,Salah Eddine,Defenders,LB,LWB|CM,24,Twente,Eredivisie,1460,1,4,6,57,84,7.0,76,76,82,25,78,78,80,estimated,seed_estimated,To verify,Progressive carries and left-sided balance,International experience,Developmental left-side option
df_el_ouahdi,Zakaria El Ouahdi,Z. El Ouahdi,Defenders,RB,RWB|RW,24,Genk,Belgian Pro League,1580,2,5,5,58,81,7.1,79,74,86,30,80,82,83,estimated,seed_estimated,To verify,Energy and wide running,Defensive control under elite pressure,Dynamic right wing back option
df_halhal,Rachid Halhal,R. Halhal,Defenders,CB,CB|DM,22,To verify,To verify,980,1,0,3,63,79,6.6,66,55,64,18,65,45,72,estimated,seed_estimated,To verify,Aerial profile and aggression,Data confidence and experience,Reserve centre back profile
df_aguerd,Nayef Aguerd,N. Aguerd,Defenders,CB,CB|LB,30,To verify,To verify,1510,2,1,6,66,86,7.1,82,84,84,88,86,55,80,manual,seed_manual,To verify,Left-footed distribution and anticipation,Recovery depth against pace,Starting centre back candidate
df_belammari,Youssef Belammari,Y. Belammari,Defenders,LB,LWB,27,Raja CA,Botola Pro,1390,1,3,7,56,80,6.9,73,58,80,22,72,62,70,estimated,seed_estimated,To verify,Defensive discipline and overlap timing,Elite pace exposure,Domestic left-back depth
df_riad,Chadi Riad,C. Riad,Defenders,CB,CB,23,Crystal Palace,Premier League,1280,1,0,5,64,85,7.0,78,94,78,38,82,42,88,manual,seed_manual,To verify,Composure and left-footed passing,Senior tournament experience,High-upside centre back
mf_el_aynaoui,Neil El Aynaoui,N. El Aynaoui,Midfielders,CM,DM|AM,24,Lens,Ligue 1,1500,2,3,0,61,87,7.1,80,86,84,30,82,76,86,estimated,seed_estimated,To verify,Press resistance and box-to-box volume,National team integration,Modern central midfielder
